,pros,contras,rates,contras_en,pros_en
0,"Cultura, Aprendizado, Benefícios, Carreira e crescimento",Não há contras de trabalhar nesta empresa,"5,0",There are no cons of working for this company.,"Culture, Learning, Benefits, Career and growth"
1,"Cultura, preocupação com o funcionário, tecnologia","Não consegui encontrar nada relevante para falar! Tem os mesmos problemas que qualquer grande empresa tem, mas é atenuado pela otima cultura da empresa","5,0","I couldn't find anything relevant to talk about! It has the same problems any big company has, but it's mitigated by great company culture.","Culture, employee concern, technology"
2,Alta participação de lucros alta e acompanhamento de performance dos colaboradores,Não tenho pontos contra o GB,"5,0",I have no points against GB,High profit sharing and employee performance monitoring
3,"Diversidade, home office, PLR, cultura inclusiva, equilíbrio entre trabalho e vida pessoal",Ciclo de reconhecimento que acontece de 6 em 6 meses,"5,0",Recognition cycle that happens every 6 months,"Diversity, home office, PLR, inclusive culture, work-life balance"
4,"Valores, se importam com pessoas, ótimos beneficios.",Vaga hibrida e distancia (Curitiba).,"5,0",Hybrid vacancy and distance (Curitiba).,"Values, care about people, great benefits."
5,"Experiência do colaborador, benefícios, essências e cultura do grupo",Não identificados no contexto atual,"5,0",Not identified in the current context,"Employee experience, benefits, essences and group culture"
6,Empresa preocupada com as pessoas,Não consigo ver nada de negativo,"5,0",I can't see anything negative,Company concerned with people
7,Benefícios bons Ambiente de trabalho saudável,Empresa muito boa pra trabalhar. Não consegui enxergar nada além do não ter critério para demissão em massa,"5,0",Very good company to work for. I couldn't see anything other than not having criteria for mass dismissal,Good benefits Healthy work environment
8,Pacote benefícios e clima organizacional,Não tem do que me queixar,"5,0",I have nothing to complain about,Benefits package and organizational climate
9,Show demais trabalho tranquilo demais,Não tem cesta básica na empresa,"5,0",There is no basic basket in the company,Show too much work too quiet
10,"Aprendo muito, sou muito bem remunerado, e tenho horários flexíveis para trabalhar!",Ainda não tenho certeza se serei contratado,"5,0",I'm still not sure if I'll be hired,"I learn a lot, I am very well paid, and I have flexible hours to work!"
11,Muitos benefícios e flexibilidade de jornada,As vezes a jornada extrapola o horário de trabalho Home office.,"4,0",Sometimes the journey extrapolates the Home office work schedule.,Lots of benefits and journey flexibility
12,"Empresa humana, organizada e principalmente, cheirosa!",Aumentos são raros por aqui.,"5,0",Raises are rare around here.,"Human company, organized and mainly, fragrant!"
13,"Ambiente de trabalho, benefícios, investimento no desenvolvimento do profissional, valores da empresa.",Falta de sinergia para entregas com times multidisciplinares de unidades de negócio diferentes,"5,0",Lack of synergy for deliveries with multidisciplinary teams from different business units,"Work environment, benefits, investment in professional development, company values."
14,Benefícios Remuneração Descontos Infra Estrutura,Lenta e burocrática Cultura relacional Politicagem excessiva Poucos ou nenhum critério em tomadas de decisão Muito marketing e pouca eficiência RH com muito mimimi e politicagem,"2,0",Slow and bureaucratic Relational culture Excessive politics Little or no criteria in decision making A lot of marketing and little efficiency HR with a lot of mimimi and politics,Benefits Compensation Discounts Infrastructure
15,- Salário bem acima do mercado; - Participação nos lucros bem acima do mercado; - Vários benefícios e descontos; - Equipe sempre solícita e amigável; - Ambiente de trabalho leve;,"Em certas épocas críticas do ano (ex. Black Friday), a carga de trabalho pode ser enorme","5,0","At certain critical times of the year (e.g. Black Friday), the workload can be huge",- Salary well above the market; - Profit sharing well above the market; - Various benefits and discounts; - Staff always helpful and friendly; - Light working environment;
16,"Vr bom, vale transporte, convênio.","Escala 6x1, folgas apenas aos domingos.","4,0","6x1 scale, days off only on Sundays.","Vr good, transportation allowance, agreement."
17,Paga sempre em dia. Tem bons benefícios,"Muita exploração, muitas cobranças. Clima muito competitivo","3,0","Lots of exploration, lots of charges. very competitive climate",Always pay on time. It has good benefits
18,Conciliar trabalho remoto com qualidade de vida,Não tenho pontos negativos da empresa,"5,0",I have no negative points of the company,Reconciling remote work with quality of life
19,Eu indico o grupo para se trabalhar,Dificilmente saio no horário exato por conta da quantidade de demandas,"5,0",I rarely leave at the exact time due to the number of demands,I recommend the group to work with
20,"Benefícios, Cultura, desenvolvimento, motivação, aprendizado","Empresa sem contras, excelente de se trabalhar","5,0","No cons, great company to work for","Benefits, Culture, development, motivation, learning"
21,"Salário, benefícios, apoio para home office",Ciclo de gente complexo. Mas está melhorando.,"5,0",Complex people cycle. But it's getting better.,"Salary, benefits, home office support"
22,Benefícios diferenciados em comparação ao mercado. Pessoas são cooperativas e o ambiente de trabalho é leve.,"Excesso de reuniões, o que dificulta a flexibilidade do horário de trabalho para quem atua em home office.","5,0","Excess of meetings, which makes it difficult for those working from home offices to be flexible in working hours.",Differentiated benefits compared to the market. People are cooperative and the work environment is light.
23,"Diversos benefícios, oportunidade de crescimento dentro da empresa.",Nada a declara até o presente momento.,"5,0",Nothing declares it until the present moment.,"Many benefits, opportunity for growth within the company."
24,adoro trabalhar aqui melhor empresa do brasil,não tenho o que reclamar,"5,0",I have nothing to complain about,I love working here best company in Brazil
25,"ótimos benefícios, empresa surreal, muito humana",plano de saúde e outros afins,"5,0",health plan and other related,"great benefits, surreal company, very human"
26,Benefícios muitos bons e competitivos,Plano de saúde de odontológico muito ruins,"5,0",Very bad dental health plan,Very good and competitive benefits
27,"Ótimos benefícios, bom ambiente de trabalho",Muito difícil de conseguir promocoes,"5,0",Very difficult to get promotions,"Great benefits, good work environment"
28,aaaaa aaaaa aaaaa aaaaa aaaaa,aaaaa aaaaa aaaaa aaaaa aaa4aa,"4,0",Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
